id_abjad,id,id_band,nama_band,judul
2,5639,98,Armada,Apa Kabar Kamu Sayang
2,42574,4750,Aviwkila,Apa Kabar Mantan
2,261,98,Armada,Apa Kabar Sayang
2,51147,88,Ardina Rasty,Apa Maumu Cape Deh
2,262,98,Armada,Apa Yang Kau Cari
2,60826,7430,Ayu Ting Ting X Keremcem,Apalah Cinta
2,7772,1407,Alice Cooper,Apple Bush
2,43925,1441,Animal Collective,Applesauce
2,43926,1441,Animal Collective,April And The Phantom
2,7554,1400,Arctic Monkeys,Arabella
2,43721,1418,Alan Jackson,Are You Washed In The Blood
2,8444,1460,Amos Lee,Arms Of A Woman
2,8185,1435,Animals,Around And Around
2,7845,1411,Anberlin,Art Of War
2,239,91,Ari Lasso,Arti Cinta
2,5651,107,Audy,Arti Hadirmu
2,8233,1440,Ani Difranco,As Is
2,7681,1403,Alkaline Trio,As You Were
2,54124,98,Armada,Asal Kau Bahagia
2,8570,1472,A Fine Frenzy,Ashes And Wine
2,55719,110,Aura kasih,Asmara
2,60353,7160,Aby Prabumulih,Asmara
2,53787,9,Acha Septriasa,Asoy Geboy
2,4351,1327,Abiem Ngesti,Astaghfirullah
2,55389,72,Angkasa,Asya
2,8644,1486,Adam Sandler,At A Medium Pace
2,7999,1421,Alexz Johnson,At Your Door
2,7750,1406,Aerosmith,Attitude Adjustment
2,41583,4422,AB Three,Auraku
2,8562,1472,A Fine Frenzy,Avalanches
2,43557,1406,Aerosmith,Avant Garden
2,50875,4443,Andrea Bocelli,Ave Maria Gulio Caccini
2,59391,85,Arah,AWAL AKHIR
2,210,77,Antharez [indie],Awal yang Indah
2,59323,98,Armada,Awas Jatuh Cinta
2,8266,1442,Alison Krauss,Away Down The River
2,43676,1415,Arcade Fire,Awful Sound Oh Eurydice
2,8535,1469,Athlete,Awkward Goodbye
2,59942,6878,Almahyra,Ayah
2,42542,4721,Aida Saskia,Ayam Jago
2,8149,1432,A Rocket To The Moon,Baby Blue Eyes
2,8690,1491,Ariana Grande,Baby I
2,7555,1400,Arctic Monkeys,Baby Im Yours
2,8177,1435,Animals,Baby Let Me Take You Home
2,43870,1432,A Rocket To The Moon,Baby Were Invincible
2,7676,1402,Ac Dc,Back In Black Acoustic
2,8000,1421,Alexz Johnson,Back Of The Room
2,43790,1424,Andrew Jackson Jihad,Back Pack
2,8478,1462,Amy Winehouse,Back To Black
2,8721,1494,Automatic Loveletter,Back To Life
2,7622,1401,All Time Low,Backseat Serenade Acoustic
2,8038,1424,Andrew Jackson Jihad,Bad Bad Things
2,5729,115,Avril Lavigne,Bad Girl
2,5730,115,Avril Lavigne,Bad Reputation
2,184,68,Andy rif,Badai Bulan Desember
2,55886,4428,Adly Fairuz,Badai Cinta
2,41595,4428,Adly Fairuz,Badai Cinta OST BADAI
2,58543,6620,Afterisya,Badut
2,52945,5279,Aizat,Bagai Hidup Semula
2,57722,6314,Ayda Jebat,Bagai Pelangi
2,3915,13,Adera,Bahagia Bersamamu
2,4284,105,Astrid,Bahagia Melihatmu Dengannya
2,59919,6860,Adibal feat Erie Suzan,Bahagia Selamanya
2,60202,7063,Ahkam,Bahagiaku Sederhana
2,60008,6933,Aprilian,Bahagiamu Lukaku
2,19,11,Ada Band,Baiknya
2,7556,1400,Arctic Monkeys,Bakery Live Acoustic
2,8517,1468,Atif Aslam,Bakhuda Tumhi Hoo
2,56993,5878,ACW Star,Balada Anak Hits
2,7702,1403,Alkaline Trio,Balanced On A Shelf
2,54791,5768,Ajeng Cover,Balasan Surat Cinta Untuk Starla
2,8544,1470,Azra,Balkan
2,8203,1438,Anouk,Ball And Chain
2,7818,1410,Against Me,Bamboo Bones
2,7834,1410,Against Me,Bamboo Bones Acoustic
2,41590,4426,Adinda,Band Sama Sama Suka
2,41589,4426,Adinda,Band Sudah Kubilang
2,43791,1424,Andrew Jackson Jihad,Bang Bang Bang
2,53623,5443,Ade Irma,Bang Toyib
2,131,52,Amour,Bangun bangun
2,4151,1176,AMPM,Bangun Cinta
2,8541,1470,Azra,Bankrot Mama
2,8249,1441,Animal Collective,Banshee Beat
2,59651,6571,Agung Pradanta,Bantul Akeh Kenangan
2,59935,6854,Anggun Pramudita,Banyu Mili
2,56702,5990,Aqua,Barbie Girl
